Time,Steps,TimePerStep
4927899, 2672393, 1.844
4921011, 2672385, 1.84143
4924398, 2672389, 1.8427
4924842, 2672385, 1.84286
4933893, 2672385, 1.84625
4957464, 2672433, 1.85504
4958812, 2672387, 1.85557
4986310, 2672385, 1.86587
4925117, 2672441, 1.84293
4927308, 2672405, 1.84377
4912703, 2672385, 1.83832
4919885, 2672425, 1.84098
4902439, 2672405, 1.83447
4875328, 2672385, 1.82434
4878209, 2672385, 1.82541
4859306, 2672385, 1.81834
4845774, 2672385, 1.81328
4933181, 2672385, 1.84598
4888950, 2672385, 1.82943
4952768, 2672385, 1.85331
4947643, 2672691, 1.85118
4928361, 2672385, 1.84418
4931685, 2672385, 1.84542
4889465, 2672389, 1.82962
4882299, 2672385, 1.82694
4870874, 2672385, 1.82267
4873580, 2672855, 1.82336
4878501, 2672385, 1.82552
4879774, 2672385, 1.826
4877913, 2672385, 1.8253
4810348, 2672385, 1.80002
4694769, 2672395, 1.75676
4810268, 2672399, 1.79998
4800595, 2672391, 1.79637
4802260, 2672403, 1.79698
4806026, 2672421, 1.79838
4817121, 2672387, 1.80255
4818994, 2672463, 1.8032
4812293, 2672385, 1.80075
4797843, 2672385, 1.79534
4797167, 2672427, 1.79506
4794339, 2672385, 1.79403
4841617, 2672385, 1.81172
4927267, 2672385, 1.84377
4769758, 2672385, 1.78483
4834293, 2672385, 1.80898
4754282, 2672385, 1.77904
4861191, 2672385, 1.81905
4849380, 2672415, 1.81461
4906381, 2672389, 1.83595
4888220, 2672385, 1.82916
4962381, 2672385, 1.85691
4947686, 2672385, 1.85141
4940295, 2672385, 1.84865
4963228, 2672471, 1.85717
4969126, 2672387, 1.85943
4895687, 2672769, 1.83169
4770740, 2672385, 1.7852
4724348, 2672385, 1.76784
4602081, 2672385, 1.72209
4629879, 2672385, 1.73249
4643597, 2672385, 1.73762
4824632, 2672455, 1.80532
4859249, 2672385, 1.81832
4874325, 2672385, 1.82396
4972495, 2672391, 1.86069
4962623, 2672385, 1.857
4962280, 2672407, 1.85686
4968310, 2672385, 1.85913
4958176, 2672385, 1.85534
4932167, 2672733, 1.84536
4949145, 2672417, 1.85194
4954034, 2672385, 1.85379
4994660, 2672385, 1.86899
4963825, 2672765, 1.85719
4957426, 2672385, 1.85506
4933517, 2672385, 1.84611
4952331, 2672467, 1.85309
4919002, 2672385, 1.84068
4966697, 2672387, 1.85852
4944510, 2672401, 1.85021
4995515, 2672385, 1.86931
4920635, 2672385, 1.84129
4916973, 2672515, 1.83983
4899634, 2672385, 1.83343
4911362, 2672399, 1.83781
4914256, 2672385, 1.8389
4923614, 2672385, 1.8424
4945882, 2672405, 1.85072
4940815, 2672385, 1.84884
4957939, 2672385, 1.85525
4949406, 2672459, 1.852
4911814, 2672401, 1.83798
4930260, 2672385, 1.84489
4918841, 2672399, 1.84061
4876099, 2672385, 1.82462
4905248, 2672385, 1.83553
4954057, 2672419, 1.85377
4934813, 2672479, 1.84653
4920905, 2672385, 1.84139
4925370, 2672385, 1.84306
4911544, 2672387, 1.83789
4935107, 2672401, 1.84669
4953753, 2672385, 1.85368
4942721, 2672519, 1.84946
4969123, 2672425, 1.85941
4947247, 2672385, 1.85125
4940579, 2672385, 1.84875
4907442, 2672385, 1.83635
4927921, 2672385, 1.84402
4911144, 2672417, 1.83772
4930718, 2672453, 1.84502
4926169, 2672393, 1.84336
4933653, 2672385, 1.84616
4963123, 2672385, 1.85719
4954618, 2672385, 1.85401
4951247, 2672385, 1.85274
4947687, 2672391, 1.85141
4937426, 2672385, 1.84757
4926006, 2672385, 1.8433
4919931, 2672561, 1.84091
4943521, 2672405, 1.84984
4960895, 2672385, 1.85635
