Time,Steps,TimePerStep
4501754, 2672385, 1.68455
4452811, 2672393, 1.66623
4538118, 2672393, 1.69815
4528903, 2672387, 1.6947
4604235, 2672393, 1.72289
4551751, 2672387, 1.70325
4539700, 2672391, 1.69874
4551703, 2672385, 1.70324
4472497, 2672391, 1.67359
4476825, 2672387, 1.67522
4454718, 2672391, 1.66694
4509236, 2672391, 1.68734
4480032, 2672387, 1.67642
4522390, 2672385, 1.69227
4513048, 2672389, 1.68877
4601915, 2672389, 1.72202
4618501, 2672391, 1.72823
4584217, 2672389, 1.7154
4576450, 2672391, 1.71249
4552183, 2672391, 1.70341
4488786, 2672395, 1.67969
4474228, 2672391, 1.67424
4514756, 2672389, 1.68941
4516502, 2672385, 1.69006
4558938, 2672385, 1.70594
4535579, 2672391, 1.6972
4480547, 2672391, 1.67661
4570544, 2672389, 1.71028
4478405, 2672389, 1.67581
4519397, 2672389, 1.69114
4563123, 2672387, 1.70751
4474689, 2672387, 1.67442
4562830, 2672389, 1.7074
4541135, 2672391, 1.69928
4461204, 2672389, 1.66937
4510801, 2672385, 1.68793
4560710, 2672389, 1.7066
4490022, 2672387, 1.68015
4553223, 2672387, 1.7038
4522319, 2672391, 1.69224
4558284, 2672391, 1.7057
4512192, 2672385, 1.68845
4489118, 2672393, 1.67981
4531988, 2672391, 1.69586
4587866, 2672395, 1.71676
4585471, 2672391, 1.71587
4559677, 2672385, 1.70622
4513087, 2672385, 1.68879
4556214, 2672385, 1.70492
4520185, 2672391, 1.69144
4539613, 2672389, 1.69871
